id,segment,discount,age,tenure_months,income_index,web_visits_30d,leak_after_offer,purchase,unit_margin_if_buy,discount_bucket
0,B,23.888437704673695,43,60,0.92,8,1,1,30.666,24
1,B,23.128740694332453,69,107,0.804,8,0,1,30.972,23
2,A,20.150683519304437,62,14,1.762,5,1,1,32.172,20
3,B,12.55102396795572,62,1,1.176,3,0,0,35.234,13
4,B,11.079880667180502,35,105,1.177,3,0,1,35.827,11
5,A,10.444052721071689,20,2,1.307,5,0,0,36.083,10
6,A,19.24548843376711,22,50,1.472,5,0,0,32.537,19
7,A,13.276411810730963,34,60,1.24,3,0,0,34.942,13
8,B,17.421292255353173,38,82,1.261,3,0,0,33.272,17
9,A,25.25273579725605,26,31,1.334,4,0,1,30.117,25
10,C,11.520482006252895,63,86,0.931,4,0,0,35.649,12
11,C,14.894977957877277,23,16,1.773,2,0,0,34.29,15
12,B,7.7652486304645665,56,5,0.892,5,0,0,37.162,8
13,A,14.415776619485651,42,72,1.483,3,0,1,34.483,14
14,A,20.252620106053786,22,71,0.933,5,0,1,32.131,20
15,B,16.904317302456143,55,60,1.314,8,1,1,33.48,17
16,B,14.419242093905037,60,6,0.847,3,0,0,34.482,14
17,A,7.000030503297248,20,15,0.514,3,0,0,37.471,7
18,B,3.6139982697352604,67,39,1.275,3,0,0,38.835,4
19,B,18.222922529648997,47,60,0.875,2,1,1,32.949,18
20,C,15.6369659763279,47,22,1.167,6,0,0,33.991,16
21,A,21.359690007831077,56,46,1.154,2,0,0,31.685,21
22,A,15.441812432737924,37,96,0.459,2,1,1,34.07,15
23,C,9.768387297381375,23,101,1.048,0,0,0,36.355,10
24,A,16.531452520868484,28,29,0.2,4,0,0,33.63,17
25,B,4.8032447860633045,39,17,0.905,6,0,0,38.356,5
26,A,16.824519315987025,27,86,0.805,11,0,0,33.512,17
27,C,7.281852920607719,46,89,1.022,2,0,0,37.357,7
28,B,11.902712961086914,62,52,0.768,1,0,0,35.495,12
29,B,17.26244457365139,51,89,1.012,1,1,1,33.336,17
30,A,9.29206750387831,36,6,1.47,3,0,0,36.547,9
31,B,10.272651334446344,49,95,0.571,3,0,0,36.152,10
32,B,14.157231545339208,69,28,0.68,4,1,0,34.587,14
33,A,14.722424976825733,53,97,0.839,5,0,0,34.359,15
34,B,13.733908008158124,45,57,1.169,2,1,0,34.758,14
35,A,12.409013363587933,40,6,1.05,5,0,0,35.291,12
36,B,11.022153163936178,22,12,0.661,3,0,0,35.85,11
37,B,4.489206560012253,20,46,0.96,4,0,0,38.482,4
38,B,17.177140155555875,18,53,0.796,3,0,1,33.37,17
39,A,17.745168018021428,44,88,1.034,2,1,1,33.141,18
40,B,7.370783001175352,56,64,0.878,2,0,0,37.321,7
41,A,10.030372052435037,67,53,1.156,2,0,1,36.25,10
42,C,12.946287649588887,46,23,0.691,3,0,0,35.075,13
43,C,14.384205992836183,63,28,0.2,7,1,0,34.496,14
44,A,15.616689476161676,58,101,1.455,7,1,1,33.999,16
45,A,11.859562068385115,63,52,1.307,3,1,0,35.513,12
46,A,15.4278573694056,20,22,0.929,5,1,0,34.075,15
47,C,4.206241152727446,44,76,0.424,3,0,0,38.596,4
48,B,18.61685911567541,53,19,1.452,5,1,0,32.79,19
49,A,20.117906791128913,19,107,1.043,3,1,1,32.185,20
50,A,10.747482595294814,56,47,1.007,5,0,0,35.961,11
51,B,2.076864076380893,30,10,0.974,2,0,0,39.454,2
52,B,12.174936571398272,45,1,1.228,4,0,0,35.386,12
53,B,18.593370376583998,28,119,0.994,8,0,1,32.8,19
54,A,18.46332009363743,57,116,0.727,5,0,1,32.852,18
55,B,1.234274846865297,41,43,1.24,4,0,0,39.794,1
56,C,7.641691058941831,55,84,1.342,7,0,0,37.212,8
57,B,16.630315635025074,18,8,1.041,4,1,0,33.591,17
58,B,22.994043116427214,46,118,0.937,4,0,1,31.027,23
59,A,15.911140494997706,36,43,1.063,7,0,0,33.88,16
60,B,13.34646353933088,41,25,1.167,4,0,1,34.914,13
61,B,20.30197831269756,61,19,0.82,2,1,1,32.111,20
62,B,19.928609183542584,36,61,0.754,2,1,1,32.262,20
63,B,8.27852501641997,57,114,1.589,4,1,0,36.956,8
64,B,13.77345750734448,65,116,0.345,7,0,0,34.742,14
